id,labels,status,x,y,color
2018-1246-15/08/2019,,Left Road - Out of Control,140.6469849,-34.2829245,brown
2018-1247-15/08/2019,,Left Road - Out of Control,137.9111313,-32.4858475,brown
2018-1248-15/08/2019,,Rear End,138.5147749,-34.8360624,black
2018-1249-15/08/2019,,Side Swipe,138.6056623,-34.9240414,cyan
2018-1250-15/08/2019,,Hit Fixed Object,138.5415385,-34.8710027,blue
2018-1251-15/08/2019,,Rear End,138.57376,-34.9781741,black
2018-1252-15/08/2019,,Roll Over,138.4268083,-33.436672,pink
2018-1253-15/08/2019,,Rear End,138.5937237,-34.8156027,black
2018-1254-15/08/2019,,Rear End,138.5281662,-34.8758717,black
2018-1255-15/08/2019,,Rear End,138.6743274,-34.7245186,black
2018-1256-15/08/2019,,Hit Fixed Object,138.5975236,-34.9450816,blue
2018-1257-15/08/2019,,Side Swipe,140.8375611,-35.304688,cyan
2018-1258-15/08/2019,,Right Angle,138.6087487,-34.9672795,yellow
2018-1259-15/08/2019,,Right Angle,138.8910359,-34.6014287,yellow
2018-1260-15/08/2019,,Right Angle,139.2800887,-35.1223143,yellow
2018-1261-15/08/2019,,Right Angle,138.5429414,-35.2089559,yellow
2018-1262-15/08/2019,,Rear End,138.602867,-34.8854363,black
2018-1263-15/08/2019,,Side Swipe,138.5414877,-34.9812016,cyan
2018-1264-15/08/2019,,Side Swipe,138.5950235,-34.8144424,cyan
2018-1265-15/08/2019,,Rear End,138.5572067,-35.0266847,black
2018-1266-15/08/2019,,Rear End,138.8851973,-35.109738,black
2018-1267-15/08/2019,,Right Angle,138.588926,-35.0044528,yellow
