id,pole_nr,color,area,row,status,x,y,labels
237,23,black,T2,T2-14,06-Commissioning,5.607202032,35.52806433,
238,24,black,T2,T2-14,06-Commissioning,5.607199832,35.52813733,
239,25,black,T2,T2-14,06-Commissioning,5.607197932,35.52820083,
240,26,black,T2,T2-14,06-Commissioning,5.607195732,35.52827383,
241,27,black,T2,T2-14,06-Commissioning,5.607193432,35.52834953,
242,28,black,T2,T2-14,06-Commissioning,5.607191232,35.52842253,
243,29,black,T2,T2-14,06-Commissioning,5.607189332,35.52848573,
244,30,black,T2,T2-14,06-Commissioning,5.607187132,35.52855873,
245,31,black,T2,T2-14,06-Commissioning,5.607184832,35.52863433,
246,32,black,T2,T2-14,06-Commissioning,5.607182632,35.52870733,
247,33,black,T2,T2-14,06-Commissioning,5.607180732,35.52877063,
248,34,black,T2,T2-14,06-Commissioning,5.607178532,35.52884363,
249,35,black,T2,T2-14,06-Commissioning,5.607176232,35.52891933,
250,36,black,T2,T2-14,06-Commissioning,5.607174032,35.52899223,
251,37,black,T2,T2-14,06-Commissioning,5.607172132,35.52905603,
252,38,black,T2,T2-14,06-Commissioning,5.607169932,35.52912893,
253,1,black,T2,T2-15,06-Commissioning,5.607411032,35.52649363,
254,2,black,T2,T2-15,06-Commissioning,5.607408832,35.52656663,
255,3,black,T2,T2-15,06-Commissioning,5.607406532,35.52664233,
256,4,black,T2,T2-15,06-Commissioning,5.607404332,35.52671533,
257,5,black,T2,T2-15,06-Commissioning,5.607402432,35.52677883,
258,6,black,T2,T2-15,06-Commissioning,5.607400232,35.52685173,
259,7,black,T2,T2-15,06-Commissioning,5.607397932,35.52692743,
260,8,black,T2,T2-15,06-Commissioning,5.607395732,35.52700043,
261,9,black,T2,T2-15,06-Commissioning,5.607393832,35.52706393,
262,10,black,T2,T2-15,06-Commissioning,5.607391632,35.52713683,
263,11,black,T2,T2-15,06-Commissioning,5.607389332,35.52721253,
264,12,black,T2,T2-15,06-Commissioning,5.607387132,35.52728553,
265,13,black,T2,T2-15,06-Commissioning,5.607385232,35.52734883,
266,14,black,T2,T2-15,06-Commissioning,5.607383032,35.52742183,
267,15,black,T2,T2-15,06-Commissioning,5.607380832,35.52749753,
268,16,black,T2,T2-15,06-Commissioning,5.607378632,35.52757053,
269,17,black,T2,T2-15,06-Commissioning,5.607376732,35.52763393,
270,18,black,T2,T2-15,06-Commissioning,5.607374532,35.52770693,
271,21,black,T2,T2-16,06-Commissioning,5.607368132,35.52791903,
272,22,black,T2,T2-16,06-Commissioning,5.607365932,35.52799203,
273,23,black,T2,T2-16,06-Commissioning,5.607363632,35.52806773,
274,24,black,T2,T2-16,06-Commissioning,5.607361432,35.52814063,
275,25,black,T2,T2-16,06-Commissioning,5.607359532,35.52820413,
276,26,black,T2,T2-16,06-Commissioning,5.607357332,35.52827713,
277,27,black,T2,T2-16,06-Commissioning,5.607355032,35.52835283,
278,28,black,T2,T2-16,06-Commissioning,5.607352832,35.52842573,
279,29,black,T2,T2-16,06-Commissioning,5.607350932,35.52848903,
280,30,black,T2,T2-16,06-Commissioning,5.607348732,35.52856203,
281,31,black,T2,T2-16,06-Commissioning,5.607346432,35.52863773,
282,32,black,T2,T2-16,06-Commissioning,5.607344232,35.52871063,
283,33,black,T2,T2-16,06-Commissioning,5.607342332,35.52877403,
284,34,black,T2,T2-16,06-Commissioning,5.607340132,35.52884693,
285,35,black,T2,T2-16,06-Commissioning,5.607337832,35.52892263,
286,36,black,T2,T2-16,06-Commissioning,5.607335632,35.52899563,
287,37,black,T2,T2-16,06-Commissioning,5.607333732,35.52905933,
288,38,black,T2,T2-16,06-Commissioning,5.607331532,35.52913233,
289,1,black,T2,T2-17,06-Commissioning,5.607572632,35.52649693,
290,2,black,T2,T2-17,06-Commissioning,5.607570432,35.52656993,
291,3,black,T2,T2-17,06-Commissioning,5.607568132,35.52664553,
292,4,black,T2,T2-17,06-Commissioning,5.607565932,35.52671853,
293,5,black,T2,T2-17,06-Commissioning,5.607564032,35.52678213,
294,6,black,T2,T2-17,06-Commissioning,5.607561832,35.52685503,
295,7,black,T2,T2-17,06-Commissioning,5.607559532,35.52693073,
296,8,black,T2,T2-17,06-Commissioning,5.607557332,35.52700373,
297,9,black,T2,T2-17,06-Commissioning,5.607555432,35.52706723,
298,10,black,T2,T2-17,06-Commissioning,5.607553232,35.52714013,
299,11,black,T2,T2-17,06-Commissioning,5.607550932,35.52721583,
300,12,black,T2,T2-17,06-Commissioning,5.607548732,35.52728883,
301,13,black,T2,T2-17,06-Commissioning,5.607546832,35.52735223,
302,14,black,T2,T2-17,06-Commissioning,5.607544632,35.52742523,
303,15,black,T2,T2-17,06-Commissioning,5.607542432,35.52750083,
304,16,black,T2,T2-17,06-Commissioning,5.607540232,35.52757383,
305,17,black,T2,T2-17,06-Commissioning,5.607538232,35.52763723,
306,18,black,T2,T2-17,06-Commissioning,5.607536032,35.52771023,
307,21,black,T2,T2-18,06-Commissioning,5.607529732,35.52792243,
308,22,black,T2,T2-18,06-Commissioning,5.607527532,35.52799543,
309,23,black,T2,T2-18,06-Commissioning,5.607525232,35.52807103,
310,24,black,T2,T2-18,06-Commissioning,5.607523032,35.52814403,
311,25,black,T2,T2-18,06-Commissioning,5.607521132,35.52820743,
312,26,black,T2,T2-18,06-Commissioning,5.607518932,35.52828043,
313,27,black,T2,T2-18,06-Commissioning,5.607516632,35.52835613,
314,28,black,T2,T2-18,06-Commissioning,5.607514432,35.52842903,
315,29,black,T2,T2-18,06-Commissioning,5.607512532,35.52849233,
316,30,black,T2,T2-18,06-Commissioning,5.607510332,35.52856533,
317,31,black,T2,T2-18,06-Commissioning,5.607508032,35.52864103,
318,32,black,T2,T2-18,06-Commissioning,5.607505832,35.52871393,
319,33,black,T2,T2-18,06-Commissioning,5.607503932,35.52877733,
320,34,black,T2,T2-18,06-Commissioning,5.607501732,35.52885033,
321,35,black,T2,T2-18,06-Commissioning,5.607499432,35.52892593,
322,36,black,T2,T2-18,06-Commissioning,5.607497232,35.52899893,
323,37,black,T2,T2-18,06-Commissioning,5.607495332,35.52906263,
324,38,black,T2,T2-18,06-Commissioning,5.607493132,35.52913563,
325,1,black,T2,T2-19,06-Commissioning,5.607734232,35.52650023,
326,2,black,T2,T2-19,06-Commissioning,5.607732032,35.52657313,
327,3,black,T2,T2-19,06-Commissioning,5.607729732,35.52664883,
328,4,black,T2,T2-19,06-Commissioning,5.607727532,35.52672183,
329,5,black,T2,T2-19,06-Commissioning,5.607725632,35.52678543,
330,6,black,T2,T2-19,06-Commissioning,5.607723432,35.52685833,
331,7,black,T2,T2-19,06-Commissioning,5.607721132,35.52693403,
332,8,black,T2,T2-19,06-Commissioning,5.607718932,35.52700703,
333,9,black,T2,T2-19,06-Commissioning,5.607717032,35.52707053,
334,10,black,T2,T2-19,06-Commissioning,5.607714832,35.52714343,
335,11,black,T2,T2-19,06-Commissioning,5.607712532,35.52721913,
336,12,black,T2,T2-19,06-Commissioning,5.607710332,35.52729213,
337,13,black,T2,T2-19,06-Commissioning,5.607708432,35.52735553,
338,14,black,T2,T2-19,06-Commissioning,5.607706232,35.52742853,
339,15,black,T2,T2-19,06-Commissioning,5.607703932,35.52750423,
340,16,black,T2,T2-19,06-Commissioning,5.607701732,35.52757723,
341,17,black,T2,T2-19,06-Commissioning,5.607699832,35.52764053,
342,18,black,T2,T2-19,06-Commissioning,5.607697632,35.52771353,
343,21,black,T2,T2-20,06-Commissioning,5.607691232,35.52792583,
344,22,black,T2,T2-20,06-Commissioning,5.607689032,35.52799873,
345,23,black,T2,T2-20,06-Commissioning,5.607686832,35.52807443,
346,24,black,T2,T2-20,06-Commissioning,5.607684632,35.52814743,
347,25,black,T2,T2-20,06-Commissioning,5.607682732,35.52821073,
348,26,black,T2,T2-20,06-Commissioning,5.607680532,35.52828373,
349,27,black,T2,T2-20,06-Commissioning,5.607678232,35.52835943,
350,28,black,T2,T2-20,06-Commissioning,5.607676032,35.52843243,
351,29,black,T2,T2-20,06-Commissioning,5.607674132,35.52849563,
352,30,black,T2,T2-20,06-Commissioning,5.607671932,35.52856853,
353,31,black,T2,T2-20,06-Commissioning,5.607669632,35.52864423,
354,32,black,T2,T2-20,06-Commissioning,5.607667432,35.52871723,
355,33,black,T2,T2-20,06-Commissioning,5.607665532,35.52878073,
356,34,black,T2,T2-20,06-Commissioning,5.607663332,35.52885363,
357,35,black,T2,T2-20,06-Commissioning,5.607661032,35.52892933,
358,36,black,T2,T2-20,06-Commissioning,5.607658832,35.52900233,
359,37,black,T2,T2-20,06-Commissioning,5.607656932,35.52906593,
360,38,black,T2,T2-20,06-Commissioning,5.607654732,35.52913893,
361,1,black,T2,T2-21,06-Commissioning,5.607895832,35.52650353,
362,2,black,T2,T2-21,06-Commissioning,5.607893632,35.52657653,
363,3,black,T2,T2-21,06-Commissioning,5.607891332,35.52665213,
364,4,black,T2,T2-21,06-Commissioning,5.607889132,35.52672513,
365,5,black,T2,T2-21,06-Commissioning,5.607887232,35.52678863,
366,6,black,T2,T2-21,06-Commissioning,5.607885032,35.52686163,
367,7,black,T2,T2-21,06-Commissioning,5.607882732,35.52693733,
368,8,black,T2,T2-21,06-Commissioning,5.607880532,35.52701033,
369,9,black,T2,T2-21,06-Commissioning,5.607878632,35.52707383,
370,10,black,T2,T2-21,06-Commissioning,5.607876432,35.52714673,
371,11,black,T2,T2-21,06-Commissioning,5.607874132,35.52722243,
372,12,black,T2,T2-21,06-Commissioning,5.607871932,35.52729543,
373,13,black,T2,T2-21,06-Commissioning,5.607870032,35.52735883,
374,14,black,T2,T2-21,06-Commissioning,5.607867832,35.52743183,
375,15,black,T2,T2-21,06-Commissioning,5.607865532,35.52750753,
376,16,black,T2,T2-21,06-Commissioning,5.607863332,35.52758043,
377,17,black,T2,T2-21,06-Commissioning,5.607861432,35.52764393,
378,18,black,T2,T2-21,06-Commissioning,5.607859232,35.52771683,
379,21,black,T2,T2-22,06-Commissioning,5.607852832,35.52792923,
380,22,black,T2,T2-22,06-Commissioning,5.607850632,35.52800213,
381,23,black,T2,T2-22,06-Commissioning,5.607848332,35.52807783,
