color,status,labels,geometry
black,06-Commissioning,,"LINESTRING (5.608865332 35.52652333,5.608828832 35.52773693)"
black,06-Commissioning,,"LINESTRING (5.608822432 35.52794923,5.608785832 35.52916213)"
black,06-Commissioning,,"LINESTRING (5.609188532 35.52653003,5.609151932 35.52774363)"
black,06-Commissioning,,"LINESTRING (5.609145532 35.52795593,5.609109032 35.52916873)"
black,06-Commissioning,,"LINESTRING (5.609350132 35.52653333,5.609313532 35.52774693)"
black,06-Commissioning,,"LINESTRING (5.609307132 35.52795913,5.609270632 35.52917203)"
black,06-Commissioning,,"LINESTRING (5.609511732 35.52653663,5.609475132 35.52775013)"
black,06-Commissioning,,"LINESTRING (5.609468732 35.52796243,5.609432132 35.52917543)"
black,06-Commissioning,,"LINESTRING (5.609673332 35.52653993,5.609636732 35.52775343)"
black,06-Commissioning,,"LINESTRING (5.609630332 35.52796573,5.609593732 35.52917873)"
black,06-Commissioning,,"LINESTRING (5.609834932 35.52654323,5.609798332 35.52775673)"
black,06-Commissioning,,"LINESTRING (5.609791932 35.52796903,5.609755332 35.52918203)"
black,06-Commissioning,,"LINESTRING (5.609996532 35.52654653,5.609959932 35.52776003)"
black,06-Commissioning,,"LINESTRING (5.609953532 35.52797233,5.609916932 35.52918543)"
black,06-Commissioning,,"LINESTRING (5.610158132 35.52654983,5.610121532 35.52776333)"
black,06-Commissioning,,"LINESTRING (5.610115132 35.52797553,5.610078532 35.52918873)"
black,06-Commissioning,,"LINESTRING (5.610319732 35.52655313,5.610283132 35.52776663)"
black,06-Commissioning,,"LINESTRING (5.610276732 35.52797873,5.610240132 35.52919203)"
black,06-Commissioning,,"LINESTRING (5.610481232 35.52655643,5.610444632 35.52777003)"
black,06-Commissioning,,"LINESTRING (5.610438232 35.52798213,5.610401732 35.52919533)"
black,06-Commissioning,T2,POINT (5.610416632 35.52870083)
black,06-Commissioning,,"LINESTRING (5.610642832 35.52655983,5.610606232 35.52777333)"
black,06-Commissioning,T2,POINT (5.610621232 35.52727863)
black,06-Commissioning,,"LINESTRING (5.610599832 35.52798543,5.610563232 35.52919863)"
black,06-Commissioning,,"LINESTRING (5.610804432 35.52656313,5.610767832 35.52777663)"
black,06-Commissioning,,"LINESTRING (5.610761432 35.52798873,5.610724832 35.52920193)"
